valve_size,motor_disp,number_of_motors,number_of_valves,error_rms,flow_max,flow_rms,motor_cost,valve_cost,total_cost
2,4.93,4,4,NaN,NaN,NaN,NaN,NaN,NaN
2,10.3,4,4,NaN,NaN,NaN,NaN,NaN,NaN
2,12,4,4,NaN,NaN,NaN,NaN,NaN,NaN
2,16,4,4,NaN,NaN,NaN,NaN,NaN,NaN
2,22.9,4,4,0.0271796422239828,820.910877228291,374.656953473622,8.1832,17.5,25.6832
2,28.1,4,4,0.0233240907886684,567.337283460148,231.000419809155,8.2248,17.5,25.7248
2,32,4,4,0.037925714104671,658.350474924014,180.731252502994,8.256,17.5,25.756
2,4.93,5,1,NaN,NaN,NaN,NaN,NaN,NaN
2,10.3,5,1,NaN,NaN,NaN,NaN,NaN,NaN
2,12,5,1,NaN,NaN,NaN,NaN,NaN,NaN
2,16,5,1,2.26778424231438,112.167995655898,36.188972933418,10.16,4.375,14.535
2,22.9,5,1,0.117604967233616,338.265061231167,192.53403299486,10.229,4.375,14.604
2,28.1,5,1,0.282877068020859,325.4822176729,151.055237132622,10.281,4.375,14.656
2,32,5,1,0.295028035289487,318.313093489179,149.02017141745,10.32,4.375,14.695
2,4.93,5,2,NaN,NaN,NaN,NaN,NaN,NaN
2,10.3,5,2,NaN,NaN,NaN,NaN,NaN,NaN
2,12,5,2,NaN,NaN,NaN,NaN,NaN,NaN
2,16,5,2,2.32991107697321,112.167995655918,44.4032300397826,10.16,8.75,18.91
2,22.9,5,2,0.049150199914404,569.570655984697,195.856881975492,10.229,8.75,18.979
2,28.1,5,2,0.176440384259958,649.560451138587,270.559039255652,10.281,8.75,19.031
2,32,5,2,0.197933169493219,635.493214658578,254.312642953454,10.32,8.75,19.07
2,4.93,5,3,NaN,NaN,NaN,NaN,NaN,NaN
2,10.3,5,3,NaN,NaN,NaN,NaN,NaN,NaN
2,12,5,3,NaN,NaN,NaN,NaN,NaN,NaN
2,16,5,3,2.44126288333536,112.167995655934,48.4998341834626,10.16,13.125,23.285
2,22.9,5,3,0.0298520504034322,578.71072556575,197.288559514574,10.229,13.125,23.354
2,28.1,5,3,0.107324581968832,730.524436662063,221.905943742783,10.281,13.125,23.406
2,32,5,3,0.121701254080003,843.583824105864,256.266059273048,10.32,13.125,23.445
2,4.93,5,4,NaN,NaN,NaN,NaN,NaN,NaN
2,10.3,5,4,NaN,NaN,NaN,NaN,NaN,NaN
2,12,5,4,NaN,NaN,NaN,NaN,NaN,NaN
2,16,5,4,2.58388989933801,112.167995655936,50.8077216386706,10.16,17.5,27.66
2,22.9,5,4,0.0177835753553436,577.743968399781,210.560932263086,10.229,17.5,27.729
2,28.1,5,4,0.0530381181678458,730.30396046683,234.419763792242,10.281,17.5,27.781
2,32,5,4,0.0640739129684767,844.476082969133,274.096921704967,10.32,17.5,27.82
2,4.93,6,1,NaN,NaN,NaN,NaN,NaN,NaN
2,10.3,6,1,NaN,NaN,NaN,NaN,NaN,NaN
2,12,6,1,NaN,NaN,NaN,NaN,NaN,NaN
